"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";3598478435,57524;3245830604,41695;2961913676,50705;2430582047,79179
"2";"plant_based";"waste";305835653,383407;352647831,158291;283916927,909902;531331628,715264
"3";"animal_based";"cont";1530382540,42309;1432550804,20278;1335317623,67306;1160762263,54558
"4";"animal_based";"waste";15218758,9719409;97831736,2203132;97233180,5297127;174555360,127486
