"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";45695999,345721;44994271,6784822;43771840,3914686;39890621,9722351
"2";"plant_based";"waste";850349,676229722;701727,667238774;1222431,28701358;3881218,41923352
"3";"animal_based";"cont";40793242,2049743;40687296,9117125;40336254,9791452;37282279,5546899
"4";"animal_based";"waste";370190,608156432;105945,293261737;351041,932567366;3053975,42445528
