"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";2449160090,68634;2377981232,84083;2318728743,97573;2206049523,73111
"2";"plant_based";"waste";58500747,7249419;71178857,8455079;59252488,865108;112679220,244615
"3";"animal_based";"cont";40686494,3177666;40362733,9561516;39991753,6443026;38643265,9901875
"4";"animal_based";"waste";243153,863404141;323760,361615008;370980,31184902;1348487,65411512
