"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";2316736386,59223;2249421616,8642;2193495481,65912;2087097826,7281
"2";"plant_based";"waste";55184939,7143472;67314769,7280381;55926135,2050722;106397654,931019
"3";"animal_based";"cont";707204460,882764;692177521,835949;676742670,484825;650145113,039655
"4";"animal_based";"waste";2300042,73586291;15026939,0468143;15434851,3511237;26597557,4451707
