"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";3088191340,9565;2903939015,88746;2742579766,79334;2430582047,79179
"2";"plant_based";"waste";163989409,141396;184252325,069042;161359249,09412;311997719,001553
"3";"animal_based";"cont";1390468687,42889;1331224213,26187;1270880807,37263;1160762263,54558
"4";"animal_based";"waste";9130225,60374873;59244474,1670149;60343405,8892385;110118543,827057
