"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";5896660.64548065;5368927.19716691;5190754.4719833;4648911.61604998
"2";"plant_based";"waste";310056.351601686;527733.448313741;178172.72518361;541842.855933314
"3";"animal_based";"cont";3772928.54081951;3694287.53911378;3642088.98015698;3267217.80911011
"4";"animal_based";"waste";69775.4220253053;78641.0017057231;52198.5589568027;374871.17104687
