"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";7070135.145245;6434541.2981855;5976765.47104485;4648911.61604998
"2";"plant_based";"waste";373929.947515532;635593.847059493;457775.827140656;1327853.85499487
"3";"animal_based";"cont";4329089.84056257;4239463.68685156;4119563.0010343;3267217.80911011
"4";"animal_based";"waste";80927.1970044765;89626.153711009;119900.685817267;852345.191924189
