"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";6137739.70129131;5560497.10145093;5081073.44302989;3765176.97872581
"2";"plant_based";"waste";371985.02915116;577242.599840378;479423.65842104;1315896.46430408
"3";"animal_based";"cont";9459285.77512897;9271111.4585155;9017778.38075797;7145840.3060182
"4";"animal_based";"waste";152489.192159858;188174.316613469;253333.077757529;1871938.07473978
