"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";3397123.43370348;3345518.80194139;3318561.513184;3198087.41916137
"2";"plant_based";"waste";46022.6225944288;51604.6317620956;26957.288757382;120474.094022634
"3";"animal_based";"cont";10497860.6803831;10437485.6128776;10396832.6492535;10030376.7209491
"4";"animal_based";"waste";66123.3040392892;60375.0675054762;40652.9636240898;366455.928304445
