"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";69744200.7537831;64442652.4406022;57906151.0027179;41691682.4365903
"2";"plant_based";"waste";4369310.11761902;5301548.3131809;6536501.43788424;16214468.5661276
"3";"animal_based";"cont";68030298.9452618;66539461.436822;65106981.5062286;52403120.4058958
"4";"animal_based";"waste";703952.514364323;1490837.50843983;1432479.93059335;12703861.1003328
