"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";52750803.7736567;49268694.3900289;47078907.1740014;41028582.832027
"2";"plant_based";"waste";2390435.45007187;3482109.38362784;2189787.21602742;6050324.3419744
"3";"animal_based";"cont";237121786.169636;232526781.992641;228965833.485588;205826114.629699
"4";"animal_based";"waste";4203264.33227102;4595004.17699556;3560948.50705291;23139718.8558889
