"";"x"
"560";1,2560703383315
"561";0
"562";0
"563";0
"564";0
"565";0
"566";0
"567";0
"568";0
"569";0
"570";0
"571";0
"572";0
"573";0
"574";0
"575";0
"576";0
"577";0
"578";0
"579";0
"580";0
"581";0
"582";0
"583";0
"584";0
"585";0
"586";0
"587";0
"588";0
"589";0
"590";0
"591";0
"592";0
"593";0
"594";0
"595";125,664238233302
"596";0
"597";0
"598";0
"599";0
"600";0
"601";0
"602";0
"603";0
"604";0
"605";0
"606";0
"607";0
"608";0
"609";0
"610";0
"611";0
"612";0,00440797895380188
"613";0
"614";0
"615";0
"616";0
"617";0
"618";0
"619";0
"620";0
"621";0
"622";0
"623";0
"624";0
"625";0
"626";0
"627";0
"628";0
"629";0
"630";0
"631";0,0159069840317846
"632";0
"633";0
"634";0
"635";0
"636";0
"637";0,0812770549559749
"638";0
"639";0
"640";0
"641";0
"642";0
"643";0
"644";0
"645";0
"646";0
"647";218,546385575861
"648";0
"649";0
"650";0
"651";0
"652";0
"653";0
"654";0
"655";0
"656";0,536515524164276
"657";0
"658";0
"659";0
"660";0
"661";0
"662";0
"663";0
"664";0
"665";0
"666";0
"667";0
"668";0
"669";0
"670";0
"671";0
"672";0
"673";0
"674";0
"675";0
"676";0
"677";0
"678";0
"679";0
"680";0
"681";0
"682";0
"683";0,242966305618182
"684";0
"685";0
"686";0
"687";0
"688";0
"689";0
"690";0
"691";0
"692";0
"693";0
"694";0
"695";0
"696";0
"697";0
"698";0
"699";0
"700";0
"701";0
"702";0
"703";0
"704";0
"705";0
"706";0
"707";0
"708";0
"709";0
"710";0
"711";0
"712";0
"713";0
"714";0
"715";0
"716";0
"717";0
"718";0,0162205498427246
"719";0
"720";0
"721";0
"722";0
"723";0
"724";0
"725";0
"726";0
"727";0
"728";0
"729";0
"730";0
"731";0
"732";0
"733";0
"734";0
"735";0
"736";0
"737";0
"738";0
"739";0
"740";0
"741";0
"742";0
"743";0
"744";0,243701150258562
"745";0
"746";0
"747";0
"748";0
"749";0
"750";0
"751";0
"752";0
"753";0
"754";0
"755";0
"756";0
"757";0
"758";0
"759";0
"760";0
"761";0
"762";0
"763";0,0231779620283464
"764";0
"765";0
"766";0
"767";0
"768";0,0175231550872357
"769";0
"770";0
"771";0
"772";0
"773";0
"774";0
"775";0
"776";0
"777";0
"778";0
"779";0
"780";0
"781";1,9672235884502
"782";7,36218524827422
"783";0
"784";7098,7412225346
"785";0
"786";34,6797673536186
"787";10,0894724971147
"788";0
"789";0,0298064180163456
"790";0
"791";0
"792";0
"793";0
"794";0
"795";0
"796";0
"797";2576,02601090404
"798";0
"799";1215,74824904344
"800";0
"801";0,584803810056373
"802";110023,843445866
"803";0
"804";1,36193939225512
"805";0
"806";0
"807";0
"808";0
"809";0
"810";66,2881438768143
"811";0
"812";18894,0587864239
"813";1186,53945161448
"814";953,786702263614
"815";91,0702693173081
"816";305,115293970962
"817";0
"818";0
"819";0
"820";3735,47526925085
"821";0
"822";0
"823";544,030274104116
"824";5180,88200320871
"825";0
"826";0
"827";0
"828";0
"829";0,127681817988446
"830";0
"831";0
"832";81,6099619983234
"833";0
"834";0
"835";0
"836";0
"837";0
"838";0
"839";0
"840";0
"841";0
"842";0
"843";0
"844";0
"845";0
"846";0
"847";1855,63090206621
"848";1,67071663380064
"849";18,0707017624003
"850";0,152925543530425
"851";1,31261091777381
"852";0
"853";0
"854";0
"855";0,546938715990199
"856";0
"857";0
"858";4,98282396823545
"859";0
"860";0
"861";69,5174034652643
"862";0
"863";0
"864";0
"865";0
"866";0
"867";0
"868";0
"869";0
"870";0
"871";1834,93673362876
"872";1,33370993160012
"873";7,08505708655584
"874";0,367767190390193
"875";0
"876";0
"877";0
"878";0
"879";0
"880";0
"881";0
"882";0
"883";0
"884";0
"885";0
"886";0
"887";0
"888";0
"889";0
"890";0
"891";0,418392568324204
"892";118,530614628339
"893";313,012582702311
"894";0
