"";"X";"ISO";"country";"group";"com_code";"com_name";"com_group";"harvest_production";"storage_transport";"processing";"distribution";"final_consumption"
"1";1;"ARM";"Armenia";"Europe";"c001";"Rice (Milled Equivalent)";"Cereals";3;6;10;1,5;18,75
"2";2;"ARM";"Armenia";"Europe";"c002";"Wheat and products";"Cereals";3;6;10;1,5;18,75
"3";3;"ARM";"Armenia";"Europe";"c003";"Barley and products";"Cereals";3;6;10;1,5;18,75
"4";4;"ARM";"Armenia";"Europe";"c004";"Maize and products";"Cereals";3;6;10;1,5;18,75
"5";5;"ARM";"Armenia";"Europe";"c005";"Rye and products";"Cereals";3;6;10;1,5;18,75
"6";6;"ARM";"Armenia";"Europe";"c006";"Oats";"Cereals";3;6;10;1,5;18,75
"7";7;"ARM";"Armenia";"Europe";"c007";"Millet and products";"Cereals";3;6;10;1,5;18,75
"8";8;"ARM";"Armenia";"Europe";"c008";"Sorghum and products";"Cereals";3;6;10;1,5;18,75
"9";9;"ARM";"Armenia";"Europe";"c009";"Cereals, Other";"Cereals";3;6;10;1,5;18,75
"10";10;"ARM";"Armenia";"Europe";"c010";"Potatoes and products";"Roots and tubers";30;13,5;22,5;5,25;12,75
"11";11;"ARM";"Armenia";"Europe";"c011";"Cassava and products";"Roots and tubers";30;13,5;22,5;5,25;12,75
"12";12;"ARM";"Armenia";"Europe";"c012";"Sweet potatoes";"Roots and tubers";30;13,5;22,5;5,25;12,75
"13";13;"ARM";"Armenia";"Europe";"c013";"Roots, Other";"Roots and tubers";30;13,5;22,5;5,25;12,75
"14";14;"ARM";"Armenia";"Europe";"c014";"Yams";"Roots and tubers";30;13,5;22,5;5,25;12,75
"15";15;"ARM";"Armenia";"Europe";"c015";"Sugar cane";"Sugar crops";3;6;0,75;1,5;18,75
"16";16;"ARM";"Armenia";"Europe";"c016";"Sugar beet";"Sugar crops";30;13,5;22,5;5,25;12,75
"17";17;"ARM";"Armenia";"Europe";"c017";"Beans";"Vegetables, fruit, nuts, pulses, spices";15;1,5;7,5;0,75;3
"18";18;"ARM";"Armenia";"Europe";"c018";"Peas";"Vegetables, fruit, nuts, pulses, spices";15;1,5;7,5;0,75;3
"19";19;"ARM";"Armenia";"Europe";"c019";"Pulses, Other and products";"Vegetables, fruit, nuts, pulses, spices";15;1,5;7,5;0,75;3
"20";20;"ARM";"Armenia";"Europe";"c020";"Nuts and products";"Vegetables, fruit, nuts, pulses, spices";15;1,5;7,5;0,75;3
"21";21;"ARM";"Armenia";"Europe";"c021";"Soyabeans";"Oil crops";15;1,5;7,5;0,75;3
"22";22;"ARM";"Armenia";"Europe";"c022";"Groundnuts (Shelled Eq)";"Oil crops";15;1,5;7,5;0,75;3
"23";23;"ARM";"Armenia";"Europe";"c023";"Sunflower seed";"Oil crops";15;1,5;7,5;0,75;3
"24";24;"ARM";"Armenia";"Europe";"c024";"Rape and Mustardseed";"Oil crops";15;1,5;7,5;0,75;3
"25";25;"ARM";"Armenia";"Europe";"c025";"Seed cotton";"Oil crops";15;1,5;7,5;0,75;3
"26";26;"ARM";"Armenia";"Europe";"c026";"Coconuts - Incl Copra";"Oil crops";15;1,5;7,5;0,75;3
"27";27;"ARM";"Armenia";"Europe";"c027";"Sesame seed";"Oil crops";15;1,5;7,5;0,75;3
"28";28;"ARM";"Armenia";"Europe";"c028";"Oil, palm fruit";"Oil crops";15;1,5;7,5;0,75;3
"29";29;"ARM";"Armenia";"Europe";"c029";"Olives (including preserved)";"Oil crops";15;1,5;7,5;0,75;3
"30";30;"ARM";"Armenia";"Europe";"c030";"Oilcrops, Other";"Oil crops";15;1,5;7,5;0,75;3
"31";31;"ARM";"Armenia";"Europe";"c031";"Tomatoes and products";"Vegetables, fruit, nuts, pulses, spices";18,75;7,5;3;7,5;14,25
"32";32;"ARM";"Armenia";"Europe";"c032";"Onions";"Vegetables, fruit, nuts, pulses, spices";24;7,5;3;7,5;14,25
"33";33;"ARM";"Armenia";"Europe";"c033";"Vegetables, Other";"Vegetables, fruit, nuts, pulses, spices";30;7,5;3;7,5;14,25
"34";34;"ARM";"Armenia";"Europe";"c034";"Oranges, Mandarines";"Vegetables, fruit, nuts, pulses, spices";30;7,5;3;7,5;14,25
"35";35;"ARM";"Armenia";"Europe";"c035";"Lemons, Limes and products";"Vegetables, fruit, nuts, pulses, spices";30;7,5;3;7,5;14,25
"36";36;"ARM";"Armenia";"Europe";"c036";"Grapefruit and products";"Vegetables, fruit, nuts, pulses, spices";30;7,5;3;7,5;14,25
"37";37;"ARM";"Armenia";"Europe";"c037";"Citrus, Other";"Vegetables, fruit, nuts, pulses, spices";30;7,5;3;7,5;14,25
"38";38;"ARM";"Armenia";"Europe";"c038";"Bananas";"Vegetables, fruit, nuts, pulses, spices";30;7,5;3;7,5;14,25
"39";39;"ARM";"Armenia";"Europe";"c039";"Plantains";"Vegetables, fruit, nuts, pulses, spices";30;7,5;3;7,5;14,25
"40";40;"ARM";"Armenia";"Europe";"c040";"Apples and products";"Vegetables, fruit, nuts, pulses, spices";30;7,5;3;7,5;14,25
"41";41;"ARM";"Armenia";"Europe";"c041";"Pineapples and products";"Vegetables, fruit, nuts, pulses, spices";30;7,5;3;7,5;14,25
"42";42;"ARM";"Armenia";"Europe";"c042";"Dates";"Vegetables, fruit, nuts, pulses, spices";30;7,5;3;7,5;14,25
"43";43;"ARM";"Armenia";"Europe";"c043";"Grapes and products (excl wine)";"Vegetables, fruit, nuts, pulses, spices";30;7,5;3;7,5;14,25
"44";44;"ARM";"Armenia";"Europe";"c044";"Fruits, Other";"Vegetables, fruit, nuts, pulses, spices";30;7,5;3;7,5;14,25
"45";45;"ARM";"Armenia";"Europe";"c045";"Coffee and products";"Coffee, tea, cocoa";0;0;0;0;0
"46";46;"ARM";"Armenia";"Europe";"c046";"Cocoa Beans and products";"Coffee, tea, cocoa";0;0;0;0;0
"47";47;"ARM";"Armenia";"Europe";"c047";"Tea (including mate)";"Coffee, tea, cocoa";0;0;0;0;0
"48";48;"ARM";"Armenia";"Europe";"c048";"Hops";"Vegetables, fruit, nuts, pulses, spices";15;1,5;7,5;0,75;3
"49";49;"ARM";"Armenia";"Europe";"c049";"Pepper";"Vegetables, fruit, nuts, pulses, spices";15;1,5;7,5;0,75;3
"50";50;"ARM";"Armenia";"Europe";"c050";"Pimento";"Vegetables, fruit, nuts, pulses, spices";15;1,5;7,5;0,75;3
"51";51;"ARM";"Armenia";"Europe";"c051";"Cloves";"Vegetables, fruit, nuts, pulses, spices";15;1,5;7,5;0,75;3
"52";52;"ARM";"Armenia";"Europe";"c052";"Spices, Other";"Vegetables, fruit, nuts, pulses, spices";15;1,5;7,5;0,75;3
"53";53;"ARM";"Armenia";"Europe";"c053";"Jute";"Fibre crops";0;0;0;0;0
"54";54;"ARM";"Armenia";"Europe";"c054";"Jute-Like Fibres";"Fibre crops";0;0;0;0;0
"55";55;"ARM";"Armenia";"Europe";"c055";"Soft-Fibres, Other";"Fibre crops";0;0;0;0;0
"56";56;"ARM";"Armenia";"Europe";"c056";"Sisal";"Fibre crops";0;0;0;0;0
"57";57;"ARM";"Armenia";"Europe";"c057";"Abaca";"Fibre crops";0;0;0;0;0
"58";58;"ARM";"Armenia";"Europe";"c058";"Hard Fibres, Other";"Fibre crops";0;0;0;0;0
"59";59;"ARM";"Armenia";"Europe";"c059";"Tobacco";"Tobacco, rubber";0;0;0;0;0
"60";60;"ARM";"Armenia";"Europe";"c060";"Rubber";"Tobacco, rubber";0;0;0;0;0
"61";61;"ARM";"Armenia";"Europe";"c061";"Fodder crops";"Fodder crops, grazing";0;0;0;0;0
"62";62;"ARM";"Armenia";"Europe";"c062";"Grazing";"Fodder crops, grazing";0;0;0;0;0
"63";63;"ARM";"Armenia";"Europe";"c063";"Cottonseed";"Fibre crops";0;0;0;0;0
"64";64;"ARM";"Armenia";"Europe";"c064";"Palm kernels";"Oil crops";0;0;7,5;0,75;3
"65";65;"ARM";"Armenia";"Europe";"c065";"Sugar non-centrifugal";"Sugar, sweeteners";0;0;0,75;1,5;18,75
"66";66;"ARM";"Armenia";"Europe";"c066";"Molasses";"Sugar, sweeteners";0;0;0,75;1,5;18,75
"67";67;"ARM";"Armenia";"Europe";"c067";"Sugar, Refined Equiv";"Sugar, sweeteners";0;0;0,75;1,5;18,75
"68";68;"ARM";"Armenia";"Europe";"c068";"Sweeteners, Other";"Sugar, sweeteners";0;0;0,75;1,5;18,75
"69";69;"ARM";"Armenia";"Europe";"c069";"Soyabean Oil";"Vegetable oils";0;0;7,5;0,75;3
"70";70;"ARM";"Armenia";"Europe";"c070";"Groundnut Oil";"Vegetable oils";0;0;7,5;0,75;3
"71";71;"ARM";"Armenia";"Europe";"c071";"Sunflowerseed Oil";"Vegetable oils";0;0;7,5;0,75;3
"72";72;"ARM";"Armenia";"Europe";"c072";"Rape and Mustard Oil";"Vegetable oils";0;0;7,5;0,75;3
"73";73;"ARM";"Armenia";"Europe";"c073";"Cottonseed Oil";"Vegetable oils";0;0;7,5;0,75;3
"74";74;"ARM";"Armenia";"Europe";"c074";"Palmkernel Oil";"Vegetable oils";0;0;7,5;0,75;3
"75";75;"ARM";"Armenia";"Europe";"c075";"Palm Oil";"Vegetable oils";0;0;7,5;0,75;3
"76";76;"ARM";"Armenia";"Europe";"c076";"Coconut Oil";"Vegetable oils";0;0;7,5;0,75;3
"77";77;"ARM";"Armenia";"Europe";"c077";"Sesameseed Oil";"Vegetable oils";0;0;7,5;0,75;3
"78";78;"ARM";"Armenia";"Europe";"c078";"Olive Oil";"Vegetable oils";0;0;7,5;0,75;3
"79";79;"ARM";"Armenia";"Europe";"c079";"Ricebran Oil";"Vegetable oils";0;0;7,5;0,75;3
"80";80;"ARM";"Armenia";"Europe";"c080";"Maize Germ Oil";"Vegetable oils";0;0;7,5;0,75;3
"81";81;"ARM";"Armenia";"Europe";"c081";"Oilcrops Oil, Other";"Vegetable oils";0;0;7,5;0,75;3
"82";82;"ARM";"Armenia";"Europe";"c082";"Soyabean Cake";"Oil cakes";0;0;7,5;0,75;3
"83";83;"ARM";"Armenia";"Europe";"c083";"Groundnut Cake";"Oil cakes";0;0;7,5;0,75;3
"84";84;"ARM";"Armenia";"Europe";"c084";"Sunflowerseed Cake";"Oil cakes";0;0;7,5;0,75;3
"85";85;"ARM";"Armenia";"Europe";"c085";"Rape and Mustard Cake";"Oil cakes";0;0;7,5;0,75;3
"86";86;"ARM";"Armenia";"Europe";"c086";"Cottonseed Cake";"Oil cakes";0;0;7,5;0,75;3
"87";87;"ARM";"Armenia";"Europe";"c087";"Palmkernel Cake";"Oil cakes";0;0;7,5;0,75;3
"88";88;"ARM";"Armenia";"Europe";"c088";"Copra Cake";"Oil cakes";0;0;7,5;0,75;3
"89";89;"ARM";"Armenia";"Europe";"c089";"Sesameseed Cake";"Oil cakes";0;0;7,5;0,75;3
"90";90;"ARM";"Armenia";"Europe";"c090";"Oilseed Cakes, Other";"Oil cakes";0;0;7,5;0,75;3
"91";91;"ARM";"Armenia";"Europe";"c091";"Wine";"Alcohol";0;0;7,5;0,75;3
"92";92;"ARM";"Armenia";"Europe";"c092";"Beer";"Alcohol";0;0;7,5;0,75;3
"93";93;"ARM";"Armenia";"Europe";"c093";"Beverages, Fermented";"Alcohol";0;0;7,5;0,75;3
"94";94;"ARM";"Armenia";"Europe";"c094";"Beverages, Alcoholic";"Alcohol";0;0;7,5;0,75;3
"95";95;"ARM";"Armenia";"Europe";"c095";"Alcohol, Non-Food";"Ethanol";0;0;0;0;0
"96";96;"ARM";"Armenia";"Europe";"c096";"Cotton lint";"Fibre crops";0;0;0;0;0
"97";97;"ARM";"Armenia";"Europe";"c097";"Cattle";"Live animals";0;0;0;0;0
"98";98;"ARM";"Armenia";"Europe";"c098";"Buffaloes";"Live animals";0;0;0;0;0
"99";99;"ARM";"Armenia";"Europe";"c099";"Sheep";"Live animals";0;0;0;0;0
"100";100;"ARM";"Armenia";"Europe";"c100";"Goats";"Live animals";0;0;0;0;0
"101";101;"ARM";"Armenia";"Europe";"c101";"Pigs";"Live animals";0;0;0;0;0
"102";102;"ARM";"Armenia";"Europe";"c102";"Poultry Birds";"Live animals";0;0;0;0;0
"103";103;"ARM";"Armenia";"Europe";"c103";"Horses";"Live animals";0;0;0;0;0
"104";104;"ARM";"Armenia";"Europe";"c104";"Asses";"Live animals";0;0;0;0;0
"105";105;"ARM";"Armenia";"Europe";"c105";"Mules";"Live animals";0;0;0;0;0
"106";106;"ARM";"Armenia";"Europe";"c106";"Camels";"Live animals";0;0;0;0;0
"107";107;"ARM";"Armenia";"Europe";"c107";"Camelids, other";"Live animals";0;0;0;0;0
"108";108;"ARM";"Armenia";"Europe";"c108";"Rabbits and hares";"Live animals";0;0;0;0;0
"109";109;"ARM";"Armenia";"Europe";"c109";"Rodents, other";"Live animals";0;0;0;0;0
"110";110;"ARM";"Armenia";"Europe";"c110";"Live animals, other";"Live animals";0;0;0;0;0
"111";111;"ARM";"Armenia";"Europe";"c111";"Milk - Excluding Butter";"Milk";5,25;0,75;1,8;0,375;5,25
"112";112;"ARM";"Armenia";"Europe";"c112";"Butter, Ghee";"Milk";5,25;0,75;1,8;0,375;5,25
"113";113;"ARM";"Armenia";"Europe";"c113";"Eggs";"Eggs";6;0;0,75;1,5;6
"114";114;"ARM";"Armenia";"Europe";"c114";"Wool (Clean Eq.)";"Hides, skins, wool";0;0;0;0;0
"115";115;"ARM";"Armenia";"Europe";"c115";"Bovine Meat";"Meat";3,45;0,9195;3,75;3;8,25
"116";116;"ARM";"Armenia";"Europe";"c116";"Mutton & Goat Meat";"Meat";15;0,927;7,5;3;8,25
"117";117;"ARM";"Armenia";"Europe";"c117";"Pigmeat";"Meat";3,75;0,345;7,5;3;8,25
"118";118;"ARM";"Armenia";"Europe";"c118";"Poultry Meat";"Meat";3,75;2,475;7,5;3;8,25
"119";119;"ARM";"Armenia";"Europe";"c119";"Meat, Other";"Meat";4,8;1,05;3,75;3;8,25
"120";120;"ARM";"Armenia";"Europe";"c120";"Offals, Edible";"Meat";4,8;1,05;3,75;3;8,25
"121";121;"ARM";"Armenia";"Europe";"c121";"Fats, Animals, Raw";"Animal fats";4,8;1,05;3,75;3;8,25
"122";122;"ARM";"Armenia";"Europe";"c122";"Hides and skins";"Hides, skins, wool";0;0;0;0;0
"123";123;"ARM";"Armenia";"Europe";"c123";"Meat Meal";"Meat";4,8;1,05;3,75;3;8,25
"124";124;"ARM";"Armenia";"Europe";"c124";"Pet food";"Meat";4,8;1,05;3,75;3;8,25
"125";125;"ARM";"Armenia";"Europe";"c125";"Honey";"Honey";15;1,5;7,5;0,75;3
"126";126;"ARM";"Armenia";"Europe";"c126";"Silk";"Hides, skins, wool";0;0;0;0;0
"127";127;"ARM";"Armenia";"Europe";"c127";"Fish, Seafood";"Fish";14,1;0,75;9;6,75;8,25
"128";128;"ARM";"Armenia";"Europe";"c128";"Wood fuel";"Wood";0;0;0;0;0
"129";129;"ARM";"Armenia";"Europe";"c129";"Industrial roundwood, coniferous";"Wood";0;0;0;0;0
"130";130;"ARM";"Armenia";"Europe";"c130";"Industrial roundwood, non-coniferous";"Wood";0;0;0;0;0
"131";131;"AFG";"Afghanistan";"SSAsia";"c001";"Rice (Milled Equivalent)";"Cereals";9;10,5;5,25;1,5;2,25
"132";132;"AFG";"Afghanistan";"SSAsia";"c002";"Wheat and products";"Cereals";9;10,5;5,25;1,5;2,25
"133";133;"AFG";"Afghanistan";"SSAsia";"c003";"Barley and products";"Cereals";9;10,5;5,25;1,5;2,25
"134";134;"AFG";"Afghanistan";"SSAsia";"c004";"Maize and products";"Cereals";9;10,5;5,25;1,5;2,25
"135";135;"AFG";"Afghanistan";"SSAsia";"c005";"Rye and products";"Cereals";9;10,5;5,25;1,5;2,25
"136";136;"AFG";"Afghanistan";"SSAsia";"c006";"Oats";"Cereals";9;10,5;5,25;1,5;2,25
"137";137;"AFG";"Afghanistan";"SSAsia";"c007";"Millet and products";"Cereals";9;10,5;5,25;1,5;2,25
"138";138;"AFG";"Afghanistan";"SSAsia";"c008";"Sorghum and products";"Cereals";9;10,5;5,25;1,5;2,25
"139";139;"AFG";"Afghanistan";"SSAsia";"c009";"Cereals, Other";"Cereals";9;10,5;5,25;1,5;2,25
"140";140;"AFG";"Afghanistan";"SSAsia";"c010";"Potatoes and products";"Roots and tubers";9;28,5;15;8,25;2,25
"141";141;"AFG";"Afghanistan";"SSAsia";"c011";"Cassava and products";"Roots and tubers";9;28,5;15;8,25;2,25
"142";142;"AFG";"Afghanistan";"SSAsia";"c012";"Sweet potatoes";"Roots and tubers";9;28,5;15;8,25;2,25
"143";143;"AFG";"Afghanistan";"SSAsia";"c013";"Roots, Other";"Roots and tubers";9;28,5;15;8,25;2,25
"144";144;"AFG";"Afghanistan";"SSAsia";"c014";"Yams";"Roots and tubers";9;28,5;15;8,25;2,25
"145";145;"AFG";"Afghanistan";"SSAsia";"c015";"Sugar cane";"Sugar crops";9;10,5;5,25;1,5;2,25
"146";146;"AFG";"Afghanistan";"SSAsia";"c016";"Sugar beet";"Sugar crops";9;28,5;15;8,25;2,25
"147";147;"AFG";"Afghanistan";"SSAsia";"c017";"Beans";"Vegetables, fruit, nuts, pulses, spices";10,5;18;12;1,5;0,75
"148";148;"AFG";"Afghanistan";"SSAsia";"c018";"Peas";"Vegetables, fruit, nuts, pulses, spices";10,5;18;12;1,5;0,75
"149";149;"AFG";"Afghanistan";"SSAsia";"c019";"Pulses, Other and products";"Vegetables, fruit, nuts, pulses, spices";10,5;18;12;1,5;0,75
"150";150;"AFG";"Afghanistan";"SSAsia";"c020";"Nuts and products";"Vegetables, fruit, nuts, pulses, spices";10,5;18;12;1,5;0,75
"151";151;"AFG";"Afghanistan";"SSAsia";"c021";"Soyabeans";"Oil crops";8,25;18;12;1,5;0,75
"152";152;"AFG";"Afghanistan";"SSAsia";"c022";"Groundnuts (Shelled Eq)";"Oil crops";10,5;18;12;1,5;0,75
"153";153;"AFG";"Afghanistan";"SSAsia";"c023";"Sunflower seed";"Oil crops";10,5;18;12;1,5;0,75
"154";154;"AFG";"Afghanistan";"SSAsia";"c024";"Rape and Mustardseed";"Oil crops";10,5;18;12;1,5;0,75
"155";155;"AFG";"Afghanistan";"SSAsia";"c025";"Seed cotton";"Oil crops";10,5;18;12;1,5;0,75
"156";156;"AFG";"Afghanistan";"SSAsia";"c026";"Coconuts - Incl Copra";"Oil crops";11,25;18;12;1,5;0,75
"157";157;"AFG";"Afghanistan";"SSAsia";"c027";"Sesame seed";"Oil crops";10,5;18;12;1,5;0,75
"158";158;"AFG";"Afghanistan";"SSAsia";"c028";"Oil, palm fruit";"Oil crops";10,5;18;12;1,5;0,75
"159";159;"AFG";"Afghanistan";"SSAsia";"c029";"Olives (including preserved)";"Oil crops";10,5;18;12;1,5;0,75
"160";160;"AFG";"Afghanistan";"SSAsia";"c030";"Oilcrops, Other";"Oil crops";10,5;18;12;1,5;0,75
"161";161;"AFG";"Afghanistan";"SSAsia";"c031";"Tomatoes and products";"Vegetables, fruit, nuts, pulses, spices";6,75;13,5;37,5;7,5;5,25
"162";162;"AFG";"Afghanistan";"SSAsia";"c032";"Onions";"Vegetables, fruit, nuts, pulses, spices";22,5;13,5;37,5;7,5;5,25
"163";163;"AFG";"Afghanistan";"SSAsia";"c033";"Vegetables, Other";"Vegetables, fruit, nuts, pulses, spices";22,5;13,5;37,5;7,5;5,25
"164";164;"AFG";"Afghanistan";"SSAsia";"c034";"Oranges, Mandarines";"Vegetables, fruit, nuts, pulses, spices";22,5;13,5;37,5;7,5;5,25
"165";165;"AFG";"Afghanistan";"SSAsia";"c035";"Lemons, Limes and products";"Vegetables, fruit, nuts, pulses, spices";22,5;13,5;37,5;7,5;5,25
"166";166;"AFG";"Afghanistan";"SSAsia";"c036";"Grapefruit and products";"Vegetables, fruit, nuts, pulses, spices";22,5;13,5;37,5;7,5;5,25
"167";167;"AFG";"Afghanistan";"SSAsia";"c037";"Citrus, Other";"Vegetables, fruit, nuts, pulses, spices";22,5;13,5;37,5;7,5;5,25
"168";168;"AFG";"Afghanistan";"SSAsia";"c038";"Bananas";"Vegetables, fruit, nuts, pulses, spices";22,5;13,5;37,5;7,5;5,25
"169";169;"AFG";"Afghanistan";"SSAsia";"c039";"Plantains";"Vegetables, fruit, nuts, pulses, spices";22,5;13,5;37,5;7,5;5,25
"170";170;"AFG";"Afghanistan";"SSAsia";"c040";"Apples and products";"Vegetables, fruit, nuts, pulses, spices";22,5;13,5;37,5;7,5;5,25
"171";171;"AFG";"Afghanistan";"SSAsia";"c041";"Pineapples and products";"Vegetables, fruit, nuts, pulses, spices";22,5;13,5;37,5;7,5;5,25
"172";172;"AFG";"Afghanistan";"SSAsia";"c042";"Dates";"Vegetables, fruit, nuts, pulses, spices";22,5;13,5;37,5;7,5;5,25
"173";173;"AFG";"Afghanistan";"SSAsia";"c043";"Grapes and products (excl wine)";"Vegetables, fruit, nuts, pulses, spices";22,5;13,5;37,5;7,5;5,25
"174";174;"AFG";"Afghanistan";"SSAsia";"c044";"Fruits, Other";"Vegetables, fruit, nuts, pulses, spices";22,5;13,5;37,5;7,5;5,25
"175";175;"AFG";"Afghanistan";"SSAsia";"c045";"Coffee and products";"Coffee, tea, cocoa";0;0;0;0;0
"176";176;"AFG";"Afghanistan";"SSAsia";"c046";"Cocoa Beans and products";"Coffee, tea, cocoa";0;0;0;0;0
"177";177;"AFG";"Afghanistan";"SSAsia";"c047";"Tea (including mate)";"Coffee, tea, cocoa";0;0;0;0;0
"178";178;"AFG";"Afghanistan";"SSAsia";"c048";"Hops";"Vegetables, fruit, nuts, pulses, spices";10,5;18;12;1,5;0,75
"179";179;"AFG";"Afghanistan";"SSAsia";"c049";"Pepper";"Vegetables, fruit, nuts, pulses, spices";10,5;18;12;1,5;0,75
"180";180;"AFG";"Afghanistan";"SSAsia";"c050";"Pimento";"Vegetables, fruit, nuts, pulses, spices";10,5;18;12;1,5;0,75
"181";181;"AFG";"Afghanistan";"SSAsia";"c051";"Cloves";"Vegetables, fruit, nuts, pulses, spices";10,5;18;12;1,5;0,75
"182";182;"AFG";"Afghanistan";"SSAsia";"c052";"Spices, Other";"Vegetables, fruit, nuts, pulses, spices";10,5;18;12;1,5;0,75
"183";183;"AFG";"Afghanistan";"SSAsia";"c053";"Jute";"Fibre crops";0;0;0;0;0
"184";184;"AFG";"Afghanistan";"SSAsia";"c054";"Jute-Like Fibres";"Fibre crops";0;0;0;0;0
"185";185;"AFG";"Afghanistan";"SSAsia";"c055";"Soft-Fibres, Other";"Fibre crops";0;0;0;0;0
"186";186;"AFG";"Afghanistan";"SSAsia";"c056";"Sisal";"Fibre crops";0;0;0;0;0
"187";187;"AFG";"Afghanistan";"SSAsia";"c057";"Abaca";"Fibre crops";0;0;0;0;0
"188";188;"AFG";"Afghanistan";"SSAsia";"c058";"Hard Fibres, Other";"Fibre crops";0;0;0;0;0
"189";189;"AFG";"Afghanistan";"SSAsia";"c059";"Tobacco";"Tobacco, rubber";0;0;0;0;0
"190";190;"AFG";"Afghanistan";"SSAsia";"c060";"Rubber";"Tobacco, rubber";0;0;0;0;0
"191";191;"AFG";"Afghanistan";"SSAsia";"c061";"Fodder crops";"Fodder crops, grazing";0;0;0;0;0
"192";192;"AFG";"Afghanistan";"SSAsia";"c062";"Grazing";"Fodder crops, grazing";0;0;0;0;0
"193";193;"AFG";"Afghanistan";"SSAsia";"c063";"Cottonseed";"Fibre crops";0;0;0;0;0
"194";194;"AFG";"Afghanistan";"SSAsia";"c064";"Palm kernels";"Oil crops";0;0;12;1,5;0,75
"195";195;"AFG";"Afghanistan";"SSAsia";"c065";"Sugar non-centrifugal";"Sugar, sweeteners";0;0;5,25;1,5;2,25
"196";196;"AFG";"Afghanistan";"SSAsia";"c066";"Molasses";"Sugar, sweeteners";0;0;5,25;1,5;2,25
"197";197;"AFG";"Afghanistan";"SSAsia";"c067";"Sugar, Refined Equiv";"Sugar, sweeteners";0;0;5,25;1,5;2,25
"198";198;"AFG";"Afghanistan";"SSAsia";"c068";"Sweeteners, Other";"Sugar, sweeteners";0;0;5,25;1,5;2,25
"199";199;"AFG";"Afghanistan";"SSAsia";"c069";"Soyabean Oil";"Vegetable oils";0;0;12;1,5;0,75
"200";200;"AFG";"Afghanistan";"SSAsia";"c070";"Groundnut Oil";"Vegetable oils";0;0;12;1,5;0,75
"201";201;"AFG";"Afghanistan";"SSAsia";"c071";"Sunflowerseed Oil";"Vegetable oils";0;0;12;1,5;0,75
"202";202;"AFG";"Afghanistan";"SSAsia";"c072";"Rape and Mustard Oil";"Vegetable oils";0;0;12;1,5;0,75
"203";203;"AFG";"Afghanistan";"SSAsia";"c073";"Cottonseed Oil";"Vegetable oils";0;0;12;1,5;0,75
"204";204;"AFG";"Afghanistan";"SSAsia";"c074";"Palmkernel Oil";"Vegetable oils";0;0;12;1,5;0,75
"205";205;"AFG";"Afghanistan";"SSAsia";"c075";"Palm Oil";"Vegetable oils";0;0;12;1,5;0,75
"206";206;"AFG";"Afghanistan";"SSAsia";"c076";"Coconut Oil";"Vegetable oils";0;0;12;1,5;0,75
"207";207;"AFG";"Afghanistan";"SSAsia";"c077";"Sesameseed Oil";"Vegetable oils";0;0;12;1,5;0,75
"208";208;"AFG";"Afghanistan";"SSAsia";"c078";"Olive Oil";"Vegetable oils";0;0;12;1,5;0,75
"209";209;"AFG";"Afghanistan";"SSAsia";"c079";"Ricebran Oil";"Vegetable oils";0;0;12;1,5;0,75
"210";210;"AFG";"Afghanistan";"SSAsia";"c080";"Maize Germ Oil";"Vegetable oils";0;0;12;1,5;0,75
"211";211;"AFG";"Afghanistan";"SSAsia";"c081";"Oilcrops Oil, Other";"Vegetable oils";0;0;12;1,5;0,75
"212";212;"AFG";"Afghanistan";"SSAsia";"c082";"Soyabean Cake";"Oil cakes";0;0;12;1,5;0,75
"213";213;"AFG";"Afghanistan";"SSAsia";"c083";"Groundnut Cake";"Oil cakes";0;0;12;1,5;0,75
"214";214;"AFG";"Afghanistan";"SSAsia";"c084";"Sunflowerseed Cake";"Oil cakes";0;0;12;1,5;0,75
"215";215;"AFG";"Afghanistan";"SSAsia";"c085";"Rape and Mustard Cake";"Oil cakes";0;0;12;1,5;0,75
"216";216;"AFG";"Afghanistan";"SSAsia";"c086";"Cottonseed Cake";"Oil cakes";0;0;12;1,5;0,75
"217";217;"AFG";"Afghanistan";"SSAsia";"c087";"Palmkernel Cake";"Oil cakes";0;0;12;1,5;0,75
"218";218;"AFG";"Afghanistan";"SSAsia";"c088";"Copra Cake";"Oil cakes";0;0;12;1,5;0,75
"219";219;"AFG";"Afghanistan";"SSAsia";"c089";"Sesameseed Cake";"Oil cakes";0;0;12;1,5;0,75
"220";220;"AFG";"Afghanistan";"SSAsia";"c090";"Oilseed Cakes, Other";"Oil cakes";0;0;12;1,5;0,75
"221";221;"AFG";"Afghanistan";"SSAsia";"c091";"Wine";"Alcohol";0;0;12;1,5;0,75
"222";222;"AFG";"Afghanistan";"SSAsia";"c092";"Beer";"Alcohol";0;0;12;1,5;0,75
"223";223;"AFG";"Afghanistan";"SSAsia";"c093";"Beverages, Fermented";"Alcohol";0;0;12;1,5;0,75
"224";224;"AFG";"Afghanistan";"SSAsia";"c094";"Beverages, Alcoholic";"Alcohol";0;0;12;1,5;0,75
"225";225;"AFG";"Afghanistan";"SSAsia";"c095";"Alcohol, Non-Food";"Ethanol";0;0;0;0;0
"226";226;"AFG";"Afghanistan";"SSAsia";"c096";"Cotton lint";"Fibre crops";0;0;0;0;0
"227";227;"AFG";"Afghanistan";"SSAsia";"c097";"Cattle";"Live animals";0;0;0;0;0
