"";"x"
"560";1,0307320768387
"561";0
"562";0
"563";0
"564";0
"565";0
"566";0
"567";0
"568";0
"569";0
"570";0
"571";0
"572";0
"573";0
"574";0
"575";0
"576";0
"577";0
"578";0
"579";0
"580";0
"581";0
"582";0
"583";0
"584";0
"585";0
"586";0
"587";0
"588";0
"589";0
"590";0
"591";0
"592";0
"593";0
"594";0
"595";122,815426787207
"596";0
"597";0
"598";0
"599";0
"600";0
"601";0
"602";0
"603";0
"604";0
"605";0
"606";0
"607";0
"608";0
"609";0
"610";0
"611";0
"612";0,00430804995988698
"613";0
"614";0
"615";0
"616";0
"617";0
"618";0
"619";0
"620";0
"621";0
"622";0
"623";0
"624";0
"625";0
"626";0
"627";0
"628";0
"629";0
"630";0
"631";0,0146062574199583
"632";0
"633";0
"634";0
"635";0
"636";0
"637";0,0756044362107385
"638";0
"639";0
"640";0
"641";0
"642";0
"643";0
"644";0
"645";0
"646";0
"647";187,937079123933
"648";0
"649";0
"650";0
"651";0
"652";0
"653";0
"654";0
"655";0
"656";0,477766401568411
"657";0
"658";0
"659";0
"660";0
"661";0
"662";0
"663";0
"664";0
"665";0
"666";0
"667";0
"668";0
"669";0
"670";0
"671";0
"672";0
"673";0
"674";0
"675";0
"676";0
"677";0
"678";0
"679";0
"680";0
"681";0
"682";0
"683";0,201185049023906
"684";0
"685";0
"686";0
"687";0
"688";0
"689";0
"690";0
"691";0
"692";0
"693";0
"694";0
"695";0
"696";0
"697";0
"698";0
"699";0
"700";0
"701";0
"702";0
"703";0
"704";0
"705";0
"706";0
"707";0
"708";0
"709";0
"710";0
"711";0
"712";0
"713";0
"714";0
"715";0
"716";0
"717";0
"718";0,0144443792971156
"719";0
"720";0
"721";0
"722";0
"723";0
"724";0
"725";0
"726";0
"727";0
"728";0
"729";0
"730";0
"731";0
"732";0
"733";0
"734";0
"735";0
"736";0
"737";0
"738";0
"739";0
"740";0
"741";0
"742";0
"743";0
"744";0,236335295707986
"745";0
"746";0
"747";0
"748";0
"749";0
"750";0
"751";0
"752";0
"753";0
"754";0
"755";0
"756";0
"757";0
"758";0
"759";0
"760";0
"761";0
"762";0
"763";0,021766444094215
"764";0
"765";0
"766";0
"767";0
"768";0,0160469064197246
"769";0
"770";0
"771";0
"772";0
"773";0
"774";0
"775";0
"776";0
"777";0
"778";0
"779";0
"780";0
"781";1,75181013894869
"782";6,55601673265099
"783";0
"784";6321,42015804419
"785";0
"786";30,8822893458248
"787";8,9846626081857
"788";0
"789";0,0265425778713404
"790";0
"791";0
"792";0
"793";0
"794";0
"795";0
"796";0
"797";2498,16575913795
"798";0
"799";1179,00232165217
"800";0
"801";0,567128145411674
"802";106698,378518607
"803";0
"804";1,32077484518832
"805";0
"806";0
"807";0
"808";0
"809";0
"810";64,2845881869614
"811";0
"812";15644,9765062518
"813";982,498363855412
"814";789,770515566069
"815";75,4095369339635
"816";252,64670020524
"817";0
"818";0
"819";0
"820";3093,11109316049
"821";0
"822";0
"823";450,477102525178
"824";4289,96110037003
"825";0
"826";0
"827";0
"828";0
"829";0,123822641702006
"830";0
"831";0
"832";79,1433051552191
"833";0
"834";0
"835";0
"836";0
"837";0
"838";0
"839";0
"840";0
"841";0
"842";0
"843";0
"844";0
"845";0
"846";0
"847";1652,43699164213
"848";1,48777106760291
"849";17,524515744536
"850";0,148303376956662
"851";1,27293732127432
"852";0
"853";0
"854";0
"855";0,530407521837902
"856";0
"857";0
"858";4,83221837379241
"859";0
"860";0
"861";67,4162435728488
"862";0
"863";0
"864";0
"865";0
"866";0
"867";0
"868";0
"869";0
"870";0
"871";1779,47586659929
"872";1,29339861850864
"873";6,87091160580318
"874";0,356651446250233
"875";0
"876";0
"877";0
"878";0
"879";0
"880";0
"881";0
"882";0
"883";0
"884";0
"885";0
"886";0
"887";0
"888";0
"889";0
"890";0
"891";0,379572639304432
"892";107,532928734988
"893";293,95038588135
"894";0
"895";2007,73581489854
"896";0,288194550531998
"897";0
"898";565,982412876897
"899";0
"900";0
"901";10,3257488598094
"902";0
"903";0
"904";0
"905";558,533134081517
"906";0
"907";6373,20136736565
"908";0
"909";0
"910";0
"911";2310,91846856022
"912";3,53030753420307
"913";168,386550488242
"914";1540,38651173306
"915";536,007504847757
"916";4,54641080971782
"917";0,586213428246686
"918";0
"919";0,0521078602959194
"920";3,09814943093969
"921";0
"922";0
"923";0
"924";0
"925";0
"926";0
"927";216,167285176687
"928";234,241472886046
"929";369,074913220758
"930";12145,1454370094
"931";127,185323924304
"932";959,433401386145
"933";0
"934";1783,36892074839
"935";0
"936";0,0995294631388061
"937";0
"938";0
"939";0
"940";9,35576953897773
"941";0,178541842568745
"942";4067,29029816446
"943";215,642837418831
"944";50,5036065329679
"945";19,848233677249
"946";0
"947";0
"948";168,130090945178
"949";0
"950";554,155830861909
"951";4,98182757587202
"952";0,105435504190914
"953";935,542408861708
"954";1300,5205860268
"955";0
"956";0
"957";0
"958";0
"959";1,37350659110898
"960";0
"961";0
"962";121,266697871139
"963";0
"964";0
"965";0
"966";0
"967";0
"968";0
"969";0
"970";0
"971";0
"972";0
"973";0
"974";0
"975";0
"976";0
"977";7,6318045743221
"978";1,95878465533708
"979";6,73202610782849
"980";0,169511448427876
"981";277,829264496303
"982";288,435838088523
"983";0
"984";0
"985";0
"986";0,0847557241556557
"987";0,0242159212590993
"988";1,12604033783879
"989";0
"990";0
"991";0,750693558785497
"992";0
"993";0
"994";0
"995";0
"996";0
"997";0
"998";0
"999";0
"1000";0
"1001";13002,632861868
"1002";1,43556043716455
"1003";0,0252591279553681
"1004";0,757773837694313
"1005";0
"1006";0
"1007";0
"1008";0
"1009";0
"1010";0
"1011";0
"1012";0
"1013";0
"1014";0
"1015";0
"1016";0
"1017";0
"1018";0
"1019";0
"1020";0
"1021";1746,64387256415
"1022";0,185665763012444
"1023";1,19640259173587
"1024";0
"1025";24,0538324458602
"1026";141,785371276893
"1027";3,37545581719032
"1028";59,8617094487053
"1029";0
"1030";0
"1031";0,377978932768525
"1032";0
"1033";0
"1034";0
"1035";4,5399325150595
"1036";0
"1037";62,3843404331601
"1038";0
"1039";0
"1040";0
"1041";1138,21605681068
"1042";60585,2754924716
"1043";15,0853830866329
"1044";7649,59060542765
"1045";1053,78571748212
"1046";923,594611941739
"1047";1998,74686245401
"1048";0
"1049";117,748320312733
"1050";9533,83172854138
"1051";0
"1052";0
"1053";0
"1054";0
"1055";0
"1056";0
"1057";159,133589457778
"1058";958,43472366149
"1059";979,870526603083
"1060";11876,7149810079
"1061";4543,35883415099
"1062";1904,49727044466
"1063";0
"1064";341,278344490097
"1065";0
"1066";97,7939118100019
"1067";0
"1068";0
"1069";1443,2004557712
"1070";587,443706990883
"1071";9625,71016744801
"1072";8580,89123037561
"1073";85090,2353501899
"1074";16911,3553784019
"1075";1702,18406842845
"1076";3699,01864662032
"1077";5493,61011253302
"1078";1795,55893763267
"1079";0,0138210285964072
"1080";28813,9976138209
"1081";1618,00018271674
"1082";19,5291134799453
"1083";8340,72819623782
"1084";127268,16434972
"1085";0
"1086";0
"1087";0
"1088";0
"1089";371,688889798079
"1090";89,1909285726958
"1091";5,40187316215638
"1092";1664,41716655992
"1093";0
"1094";0
"1095";0
"1096";0
"1097";0
"1098";0
"1099";0
"1100";0
"1101";0
"1102";0
"1103";0
"1104";0
"1105";0
"1106";0
"1107";3180,92202175324
"1108";28223,8817517331
"1109";1109,56140376852
"1110";2,5911035688261
"1111";13304,8688564262
"1112";1249,48099704244
"1113";0
"1114";0
"1115";123,595850629958
"1116";0,0121079605936651
"1117";20,0144589206455
"1118";466,773989935735
"1119";0
"1120";0
"1121";1437,97772777487
"1122";0
"1123";0
"1124";0
"1125";0
"1126";0
"1127";0
"1128";0
"1129";0
"1130";0
"1131";10321,4395805264
"1132";6432,15693928273
"1133";286,665843165472
"1134";1209,55438987301
"1135";0
"1136";0
"1137";0
"1138";0
"1139";0
"1140";0
"1141";0
"1142";0
"1143";0
"1144";0
"1145";0
"1146";0
"1147";0
"1148";0
"1149";0
"1150";0
"1151";253549,852994324
"1152";129,759242919962
"1153";755,040755000066
"1154";0
"1155";7621,61704268798
"1156";0,644691664388671
"1157";2735,77328934824
"1158";27994,792676754
"1159";0
"1160";0
"1161";718,656764145222
"1162";0
"1163";0
"1164";0
"1165";59,7054408133716
"1166";0
"1167";639,607664209238
"1168";0
"1169";0
"1170";0
"1171";0
"1172";0
"1173";0
"1174";0
"1175";0
"1176";0
"1177";0
"1178";0
"1179";0
"1180";0
"1181";0
"1182";0
"1183";0
"1184";0
"1185";0
"1186";0
"1187";0
"1188";0
"1189";0
"1190";0
"1191";0
"1192";0
"1193";0
"1194";0
"1195";0
"1196";0
"1197";0
"1198";0
"1199";0
"1200";0
"1201";0
"1202";0
"1203";0
"1204";0
"1205";0
"1206";0
"1207";0
"1208";0
"1209";0
"1210";0
"1211";0
"1212";0
"1213";0
"1214";0
"1215";0
"1216";0
"1217";0
"1218";0
"1219";0
"1220";0
"1221";0
"1222";0
"1223";0
"1224";0
"1225";0
"1226";0
"1227";0
"1228";0
"1229";0
"1230";0
"1231";0
"1232";0
"1233";0
"1234";0
"1235";0
"1236";0
"1237";0
"1238";0,4622201375077
"1239";0
"1240";0
"1241";0
"1242";0
"1243";0
"1244";0
"1245";0
"1246";0
"1247";0
"1248";0
"1249";0
"1250";0
"1251";0
"1252";0
"1253";0
"1254";0
"1255";0
"1256";0
"1257";0
"1258";0
