"";"V1"
"1";0
"2";0,361864661654135
"3";0
"4";0
"5";0
"6";0
"7";0
"8";0
"9";0,177082706766917
"10";0
"11";0
"12";0
"13";0
"14";0
"15";0
"16";0
"17";0
"18";0
"19";0
"20";3,79737809928765
"21";0
"22";0
"23";0
"24";0
"25";0
"26";0
"27";0
"28";0
"29";0
"30";0
"31";0
"32";0
"33";7,58639620827386
"34";9,87291482593724
"35";0
"36";4,20204580398402
"37";0
"38";0
"39";0
"40";136,90340941917
"41";0,00757125370087211
"42";0
"43";48,8875851465312
"44";89,2272248647779
"45";0
"46";0
"47";0
"48";0
"49";0
"50";0
"51";0
"52";0
"53";0
"54";0
"55";0
"56";0
"57";0
"58";0
"59";0
"60";0
"61";0
"62";0
"63";0
"64";0
"65";0
"66";0
"67";6,40561403508772
"68";0
"69";0
"70";0
"71";0,281318681318681
"72";0
"73";0
"74";0
"75";0
"76";0
"77";0
"78";0
"79";0
"80";0
"81";0
"82";0
"83";0
"84";0
"85";0
"86";0
"87";0
"88";0
"89";0
"90";0
"91";1,34095238095238
"92";13,7189743589744
"93";17,1604395604396
"94";133,767032967033
"95";0
"96";0
"97";0
"98";0
"99";0
"100";0
"101";0
"102";0
"103";0
"104";0
"105";0
"106";0
"107";0
"108";0
"109";0
"110";0
"111";183,085715134318
"112";1,15001240739051
"113";0
"114";0
"115";0
"116";0
"117";6,27034943088117
"118";0,102898448335295
"119";0
"120";0
"121";0
"122";0
"123";0
"124";0
"125";0
"126";0
"127";93,4649794091868
"128";0
"129";0
"130";0
"131";0
"132";0
"133";0
"134";0
"135";0
"136";0
"137";0
"138";0
"139";0
"140";516,491528616682
"141";0
"142";0
"143";0
"144";0
"145";0
"146";0
"147";0,0175398830659456
"148";0,0263098245989184
"149";0,00876994153297282
"150";211,601149307568
"151";0
"152";0
"153";0
"154";0
"155";0
"156";0
"157";0
"158";0
"159";0
"160";0
"161";0
"162";0
"163";142,092968306622
"164";0
"165";0
"166";0
"167";423,238796211182
"168";0
"169";0
"170";0
"171";0
"172";0
"173";240,989274609328
"174";120,41256864234
"175";0
"176";0
