"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";1545552174.88294;1500016013.65436;1473857365.92324;1423063134.13835
"2";"plant_based";"waste";42956077.8524727;45536161.2285785;26158647.7311171;50794231.7848898
"3";"animal_based";"cont";362653580.141911;359107164.547601;356729401.145445;347992857.638861
"4";"animal_based";"waste";2312797.97104567;3546415.59430994;2377763.40215569;8736543.50658446
