"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";5024640,93120476;4851562,95661652;4688979,44194956;4107651,41964598
"2";"plant_based";"waste";133562,730582538;173077,974588243;162583,514666959;581328,022303585
"3";"animal_based";"cont";13388801,6262855;13272782,66216;12960460,9863313;11040438,4605885
"4";"animal_based";"waste";245714,689501112;116018,964125505;312321,675828647;1920022,52574287
