"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";5523003,04182047;5277217,80536443;5096710,79708239;4540627,20772191
"2";"plant_based";"waste";231883,453564608;245785,236456045;180507,008282043;556083,589360473
"3";"animal_based";"cont";5237344,43098727;5189723,93171692;5111695,40551368;4690757,48070266
"4";"animal_based";"waste";95903,7207235238;47620,4992703474;78028,5262032417;420937,924811012
