"";"product";"Item_code";"dietgroup";"SQ_g";"SQ_kcal";"SQ_prot";"SQ_fat";"DGErec_g";"DGErec_kcal";"DGErec_prot";"DGErec_fat";"kcal_data";"prot_data";"fat_data"
"32";"Onions";"2602";"vegetables incl. legumes";11,4680388376447;3,55509203966985;0,126148427214092;0,0229360776752894;21,9564254400933;6,80649188642894;0,241520679841027;0,0439128508801867;0,31;0,011;0,002
"33";"Vegetables. Other";"2605";"vegetables incl. legumes";128,581623153165;28,2879570936962;1,80014272414431;0,257163246306329;246,179217013227;54,1594277429098;3,44650903818517;0,492358434026453;0,22;0,014;0,002
"34";"Oranges. Mandarines";"2611";"Fruits";29,1945003604173;9,92613012254187;0,204361502522921;0,0291945003604173;45,8783610250837;15,5986427485285;0,321148527175586;0,0458783610250837;0,34;0,007;0,001
"35";"Lemons. Limes and products";"2612";"Fruits";2,84569155435679;0,426853733153519;0,0170741493261407;0,00569138310871358;4,47192666033167;0,67078899904975;0,02683155996199;0,00894385332066333;0,15;0,006;0,002
"36";"Grapefruit and products";"2613";"Fruits";2,3076053143769;0,369216850300305;0,00692281594313071;0,0023076053143769;3,62633881071401;0,580214209714242;0,010879016432142;0,00362633881071401;0,16;0,003;0,001
"37";"Citrus. Other";"2614";"Fruits";3,77612199034994;0,981791717490985;0,0188806099517497;0,00755224398069988;5,93407271264416;1,54285890528748;0,0296703635632208;0,0118681454252883;0,26;0,005;0,002
"38";"Bananas";"2615";"Fruits";20,735935206111;12,4415611236666;0,145151546442777;0,062207805618333;32,5859565957342;19,5515739574405;0,22810169617014;0,0977578697872026;0,6;0,007;0,003
"39";"Plantains";"2616";"Fruits";0,0260631293633443;0,0195473470225082;0,000208505034906754;7,81893880900329e-05;0,0409574969125411;0,0307181226844058;0,000327659975300329;0,000122872490737623;0,75;0,008;0,003
"40";"Apples and products";"2617";"Fruits";35,6352678783092;17,1049285815884;0,0356352678783092;0,106905803634928;55,9998515050206;26,8799287224099;0,0559998515050206;0,167999554515062;0,48;0,001;0,003
"41";"Pineapples and products";"2618";"Fruits";5,88075492496426;1,52899628049071;0,0117615098499285;0,0117615098499285;9,2414459647116;2,40277595082502;0,0184828919294232;0,0184828919294232;0,26;0,002;0,002
"42";"Dates";"2619";"Fruits";0,170092049533043;0,265343597271548;0,00255138074299565;0,000680368198132174;0,267295016514605;0,416980225762784;0,00400942524771908;0,00106918006605842;1,56;0,015;0,004
"43";"Grapes and products (excl wine)";"2620";"Fruits";16,2704474320418;8,62333713898217;0,0813522371602092;0,0650817897281673;25,5685643566942;13,5513391090479;0,127842821783471;0,102274257426777;0,53;0,005;0,004
"44";"Fruits. Other";"2625";"Fruits";47,1319048809912;21,2093571964461;0,235659524404956;0,235659524404956;74,0665029795055;33,3299263407775;0,370332514897527;0,370332514897527;0,45;0,005;0,005
"48";"Hops";"677";"vegetables incl. legumes";0;0;0;0;0;0;0;0;0;0;0
"49";"Pepper";"2640";"vegetables incl. legumes";0,479344475108144;1,32299075129848;0,0512898588365715;0,0129423008279199;0,917741156690591;2,53296559246603;0,0981983037658932;0,024779011230646;2,76;0,107;0,027
"50";"Pimento";"2641";"vegetables incl. legumes";0,436527230892401;1,38815659423784;0,0523832677070882;0,0755192109443854;0,83576431274346;2,6577305145242;0,100291717529215;0,144587226104619;3,18;0,12;0,173
"51";"Cloves";"2642";"vegetables incl. legumes";0,0131746800706999;0,0425542166283607;0,000790480804241994;0,00264811069421068;0,0252239188203531;0,0814732577897405;0,00151343512922119;0,00507000768289097;3,23;0,06;0,201
"52";"Spices. Other";"2645";"vegetables incl. legumes";0,987812994914986;3,3289297928635;0,111622868425393;0,153111014211823;1,89124249391369;6,37348720448913;0,213710401812247;0,293142586556622;3,37;0,113;0,155
"64";"Palm kernels";"2562";"vegetables incl. legumes";0;0;0;0;0;0;0;0;5,14;0,073;0,434
"65";"Sugar non-centrifugal";"2541";"Alcohol, sugar and honey";0;0;0;0;0;0;0;0;3,51;0,01;0
"66";"Molasses";"2544";"Alcohol, sugar and honey";0;0;0;0;0;0;0;0;2,32;0;0
"67";"Sugar. Refined Equiv";"2818";"Alcohol, sugar and honey";67,7243677445544;262,093303171426;0;0;27,2198573011334;105,340847755386;0;0;3,87;0;0
"68";"Sweeteners. Other";"2543";"Alcohol, sugar and honey";24,4145265849195;75,6850324132506;0;0;9,8127151548;30,41941697988;0;0;3,1;0;0
"69";"Soyabean Oil";"2571";"Vegetable oils";13,1855539928192;116,560297296522;0;13,1855539928192;8,10041350432194;71,6076553782059;0;8,10041350432194;8,84;0;1
"70";"Groundnut Oil";"2572";"Vegetable oils";0,120842811783784;1,06825045616865;0;0,120842811783784;0,0742385754141759;0,656269006661315;0;0,0742385754141759;8,84;0;1
"71";"Sunflowerseed Oil";"2573";"Vegetable oils";8,12810325924477;71,8524328117238;0;8,12810325924477;4,99341911925477;44,1418250142122;0;4,99341911925477;8,84;0;1
"72";"Rape and Mustard Oil";"2574";"Vegetable oils";13,9604155689924;123,410073629893;0;13,9604155689924;8,57644198056433;75,8157471081887;0;8,57644198056433;8,84;0;1
"73";"Cottonseed Oil";"2575";"Vegetable oils";0;0;0;0;0;0;0;0;8,84;0;1
"74";"Palmkernel Oil";"2576";"Vegetable oils";0;0;0;0;0;0;0;0;8,84;0;1
"75";"Palm Oil";"2577";"Vegetable oils";7,23195267788154;63,9304616724728;0;7,23195267788154;4,44287795313206;39,2750411056874;0;4,44287795313206;8,84;0;1
"76";"Coconut Oil";"2578";"Vegetable oils";0,119838811992383;1,05937509801267;0;0,119838811992383;0,0736217781621963;0,650816518953816;0;0,0736217781621963;8,84;0;1
"77";"Sesameseed Oil";"2579";"Vegetable oils";0,392388023721224;3,46871012969562;0;0,392388023721224;0,241059666360366;2,13096745062564;0;0,241059666360366;8,84;0;1
"78";"Olive Oil";"2580";"Vegetable oils";1,88657963557426;16,6773639784764;0;1,88657963557426;1,15900137114504;10,2455721209222;0;1,15900137114504;8,84;0;1
"79";"Ricebran Oil";"2581";"Vegetable oils";9,20133191651243e-05;0,000813397741419699;0;9,20133191651243e-05;5,65274643407906e-05;0,000499702784772589;0;5,65274643407906e-05;8,84;0;1
"80";"Maize Germ Oil";"2582";"Vegetable oils";0,379866154720557;3,35801680772972;0;0,379866154720557;0,23336698110743;2,06296411298969;0;0,23336698110743;8,84;0;1
"81";"Oilcrops Oil. Other";"2586";"Vegetable oils";3,94072722106062;34,8360286341759;0;3,94072722106062;2,42094643999887;21,40116652959;0;2,42094643999887;8,84;0;1
"91";"Wine";"2655";"Alcohol, sugar and honey";58,0841234582071;39,4972039515808;0;0;23,3452390128949;15,8747625287685;0;0;0,68;0;0
"92";"Beer";"2656";"Alcohol, sugar and honey";238,404495743976;143,042697446385;4,52968541913553;0,715213487231927;95,8198144953738;57,4918886972243;1,8205764754121;0,287459443486121;0,6;0,019;0,003
"93";"Beverages. Fermented";"2657";"Alcohol, sugar and honey";0,896485068056514;0,421347981986562;0,000896485068056514;0;0,360316329819961;0,169348675015382;0,000360316329819961;0;0,47;0,001;0
"94";"Beverages. Alcoholic";"2658";"Alcohol, sugar and honey";26,9166942254055;79,4042479649463;0;0;10,8183893070407;31,9142484557701;0;0;2,95;0;0
"111";"Milk - Excluding Butter";"2848";"Milk";660,964891876468;317,263148100704;21,8118414319234;9,91447337814702;727,462398578499;349,181951317679;24,0062591530905;10,9119359786775;0,48;0,033;0,015
