"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"plant_based";"cont";2616669674,04242;2360479219,1323;2267314596,06802;2085399528,79324
"2";"plant_based";"waste";211741899,343972;256190454,91012;93164623,0642763;181915067,274788
"3";"animal_based";"cont";774772074,142695;725201390,532601;700541243,416669;656109715,804868
"4";"animal_based";"waste";8125167,3630536;49570683,6100943;24660147,1159316;44431527,6118017
