"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"plant_based";"cont";45351376.21451;43603427.1664973;41390109.425004;34736830.9556265
"plant_based";"waste";1499260.62549;1747949.04801267;2213317.74149336;6653278.46937744
"animal_based";"cont";32021487.1706863;31517207.1217398;30900805.51681;26876135.7300503
"animal_based";"waste";345687.4693137;504280.048946497;616401.60492982;4024669.78675967
